Artist,Album,Listed,Spotify URL,Spotify Streamable,Rdio URL,Rdio Streamable
Beach House,Teen Dream,27,spotify:album:5P01cB5npMO6iMAZ66UraO,False,http://rdio.com/artist/Beach_House/album/Teen_Dream/,True
Arcade Fire,The Suburbs,25,spotify:album:7fhy8EF51PpdmXfW03ZC6h,False,http://rdio.com/artist/Arcade_Fire/album/The_Suburbs/,True
The National,High Violet,25,spotify:album:59gXPxZ8CwFaeknPxtxXHZ,True,http://rdio.com/artist/The_National/album/High_Violet/,True
Flying Lotus,Cosmogramma,24,spotify:album:5c7XChrHxYaqykCZLaGM5f,True,http://rdio.com/artist/Flying_Lotus/album/Cosmogramma/,True
Caribou,Swim,22,spotify:album:7K87ZhCZUlHREhQLq8Bmyr,True,http://rdio.com/artist/Caribou/album/Swim/,True
Vampire Weekend,Contra,21,spotify:album:23dMwCv6redn6pcyliSlGk,True,http://rdio.com/artist/Vampire_Weekend/album/Contra/,True
LCD Soundsystem,This Is Happening,21,spotify:album:2cmf2niWqoRqmFkGoKhACK,True,http://rdio.com/artist/LCD_Soundsystem/album/This_Is_Happening/,True
Kanye West,My Beautiful Dark Twisted Fantasy,20,spotify:album:6klUp8sQyRXGuJhqZu4PG3,True,http://rdio.com/artist/Kanye_West/album/My_Beautiful_Dark_Twisted_Fantasy_1/,True
Deerhunter,Halcyon Digest,20,spotify:album:1HUMjB15ARg96KIypcGzYY,True,http://rdio.com/artist/Deerhunter/album/Halcyon_Digest/,True
Oneohtrix Point Never,Returnal,19,spotify:album:1wAGOTsOpHWmVRsJHle93N,True,,False
Sleigh Bells,Treats,19,spotify:album:0mOqNvTz8ls00W4ipgx3Sy,True,http://rdio.com/artist/Sleigh_Bells/album/Treats/,True
Radiohead,In Rainbows,18,,False,http://rdio.com/artist/Radiohead/album/In_Rainbows/,True
Dirty Projectors,Bitte Orca,18,spotify:album:5370y6sLDhvjsg5eaQpIB4,False,http://rdio.com/artist/Dirty_Projectors/album/Bitte_Orca/,True
Yeasayer,Odd Blood,18,spotify:album:6glDm0Lo7eD5VzP5K1KAnF,True,http://rdio.com/artist/Yeasayer/album/Odd_Blood/,True
These New Puritans,Hidden,17,spotify:album:2dJj81hOwaCCqAa1yPPGzR,True,http://rdio.com/artist/These_New_Puritans/album/Hidden/,True
Grinderman,Grinderman 2,17,spotify:album:22wks1T9IJHH7GijyZOjHr,True,http://rdio.com/artist/Grinderman/album/Grinderman_2_1/,True
Grizzly Bear,Veckatimest,17,spotify:album:6FIFqclBriPCb0SjWDaHIk,True,http://rdio.com/artist/Grizzly_Bear/album/Veckatimest/,True
Battles,Mirrored,16,spotify:album:0X8vBD8h1Ga9eLT8jx9VCC,True,http://rdio.com/artist/Battles/album/Mirrored/,True
Gorillaz,Plastic Beach,16,spotify:album:2dIGnmEIy1WZIcZCFSj6i8,True,http://rdio.com/artist/Gorillaz/album/Plastic_Beach_1/,True
Titus Andronicus,The Monitor,16,spotify:album:5U09FQWagzAU5HPmufUAlU,True,http://rdio.com/artist/Titus_Andronicus/album/The_Monitor_1/,True
Fuck Buttons,Tarot Sport,15,,False,http://rdio.com/artist/Fuck_Buttons/album/Tarot_Sport/,True
The Walkmen,Lisbon,15,spotify:album:2bix5QSLEDS1HHJ1ka0FCb,True,http://rdio.com/artist/The_Walkmen/album/Lisbon/,True
Wild Beasts,Two Dancers,15,spotify:album:0yKsmEGhnbjt26CMPBwMQB,True,http://rdio.com/artist/Wild_Beasts/album/Two_Dancers_1/,True
The Black Keys,Brothers,15,spotify:album:7qE6RXYyz5kj5Tll7mJU0v,True,http://rdio.com/artist/The_Black_Keys/album/Brothers/,True
M.I.A.,Kala,15,spotify:album:5c4JW9TBpawiv9pI2vrNsE,True,http://rdio.com/artist/M.I.A./album/Kala_1/,True
Crystal Castles,Crystal Castles,15,spotify:album:1ac7y6WkPPRAY55ltw1w8e,True,http://rdio.com/artist/Crystal_Castles/album/Crystal_Castles_1/,True
Animal Collective,Merriweather Post Pavilion,15,spotify:album:02vTLsOXcSItxqbLMCsaRo,True,http://rdio.com/artist/Animal_Collective/album/Merriweather_Post_Pavilion/,True
Arcade Fire,Neon Bible,14,spotify:album:6VAaqblQv4EEI6BQzAhBj9,False,http://rdio.com/artist/Arcade_Fire/album/Neon_Bible/,True
MGMT,Congratulations,14,spotify:album:6WwUrcprP7x5lVeJZeHCkd,True,http://rdio.com/artist/MGMT/album/Congratulations/,True
Fever Ray,Fever Ray,13,spotify:album:65x1INgl50664t7JP49Rho,True,http://rdio.com/artist/Fever_Ray/album/Fever_Ray/,True
The Horrors,Primary Colours,13,spotify:album:2py8SDBSpqHHlFPlExqDKp,True,http://rdio.com/artist/The_Horrors_1/album/Primary_Colours/,True
Panda Bear,Person Pitch,13,spotify:album:5xvUpk2fTmj5j5TybamuOY,True,http://rdio.com/artist/Panda_Bear/album/Person_Pitch_1/,True
Joanna Newsom,Have One On Me,13,,False,,False
Surfer Blood,Astro Coast,13,spotify:album:0w0fov1zEa5TxbcegyZk03,True,http://rdio.com/artist/Surfer_Blood/album/Astro_Coast/,True
